Year,1 - State Name,8 - Structure Number,2024 NBI Structure Number,22 - Owner Agency,3 - County Name,City - InfoBridge Place Code,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),58 - Deck Condition Rating,59 - Superstructure Condition Rating,60 - Substructure Condition Rating,113 - Scour Critical Bridge Value,Average Relative Humidity,Average Temperature,Maximum Temperature,Mean Wind Speed,Minimum Temperature,Number of Freeze-Thaw Cycles,Number of Snowfall Days,Number of Days with Measurable Precipitation,Number of Days with Temperature Below 0?C,Prevailing Wind Direction,Time of Wetness,Total Precipitation,Computed - Average Daily Truck Traffic (Volume),64 - Operating Rating (US tons),66 - Inventory Rating (US tons)
2000,Pennsylvania,460309013000000,000000000027369,State Highway Agency,Montgomery County,,1958,51610,Steel Continuous,Stringer/Multi-beam or Girder,3,298.9,PA 309 BY-PASS    ,Fair,42,6,5,6,Bridge not over waterway,77,11,33,2,-17.9,84,35,117,111,150.91,3633,1197.7,1548,89.3,53.6
2000,Virginia,000000000014218,000000000014218,State Highway Agency,Prince William County,,1980,13000,Prestressed Concrete,Stringer/Multi-beam or Girder,3,112.9,WBL ROUTE 0066    ,Fair,20,8,6,7,Bridge not over waterway,73,11.8,35.2,2,-15.2,86,28,103,108,158.2,2939,1124.64,390,75.4,55.6
2000,Pennsylvania,360324007012890,000000000021212,State Highway Agency,Lancaster County,,1970,1338,Prestressed Concrete,Stringer/Multi-beam or Girder,2,152.9,PA 324;SR 0324    ,Fair,30,6,8,6,Evaluation not yet made,76,10.5,32.7,1,-17.6,86,41,115,119,155.31,3311,1198.47,80,77.4,21.8
2000,Virginia,000000000023858,000000000023858,State Highway Agency,Fairfax County,,1993,2900,Prestressed Concrete,Stringer/Multi-beam or Girder,2,190.9,CLARA BARTON DR.  ,Good,7,8,8,8,Bridge not over waterway,73,11.8,35.2,2,-15.2,86,28,103,108,158.2,2939,1124.64,58,92.3,55.6
2000,Pennsylvania,550219019500000,000000000040268,State Highway Agency,Somerset County,,1998,100,Prestressed Concrete,Stringer/Multi-beam or Girder,1,142.1,US 219 (SBL)      ,Good,2,9,9,9,Evaluation not yet made,75,9.2,31,0,-16.6,98,88,118,139,137.32,2999,993.27,50,110.1,53.6
2000,Virginia,000000000023678,000000000023678,State Highway Agency,Fairfax County,,1993,9178,Prestressed Concrete,Stringer/Multi-beam or Girder,2,152.9,LEE CHAPEL ROAD   ,Good,7,8,8,8,Foundations Stable,73,12.4,35.7,1,-13.9,83,23,102,102,149.44,3167,1075.04,367,55.6,37.7
2000,Virginia,000000000011061,000000000011061,State Highway Agency,Loudoun County,,1987,13373,Steel,Stringer/Multi-beam or Girder,3,210,SR-7 BYPASS WBL   ,Good,13,7,7,7,Foundations stable; Scour above top of footing,73,11.8,35.2,2,-15.2,86,28,103,108,158.2,2939,1124.64,1337,110.1,60.5
2000,Virginia,000000000014216,000000000014216,State Highway Agency,Prince William County,,1980,12344,Prestressed Concrete,Stringer/Multi-beam or Girder,3,112.9,EBL ROUTE 0066    ,Good,20,8,7,7,Bridge not over waterway,73,11.8,35.2,2,-15.2,86,28,103,108,158.2,2939,1124.64,1234,75.4,55.6
2000,Pennsylvania,364003011000000,000000000042120,State Highway Agency,Lancaster County,,1936,1454,Steel,Truss - Thru,1,85,SR 4003           ,Poor,64,3,4,5,Evaluation not yet made,76,10.5,32.7,1,-17.6,86,41,115,119,155.31,3311,1198.47,58,31.7,20.8
2000,Pennsylvania,062011003401320,000000000005043,State Highway Agency,Berks County,,1978,17471,Prestressed Concrete,Stringer/Multi-beam or Girder,3,164,SR 2011 (LR 06143),Good,22,7,8,7,Bridge not over waterway,,,,,,91,48,,,,,,1223,110.1,37.7
2000,Virginia,000000000000067,000000000000067,State Highway Agency,Arlington County,,1982,1875,Steel Continuous,Stringer/Multi-beam or Girder,2,226,NORTH SCOTT STREET,Good,18,7,8,8,Bridge not over waterway,75,11.9,32.3,3,-16,76,21,106,99,158.1,3233,1128.09,19,76.4,37.7
2000,Virginia,000000000000131,000000000000131,State Highway Agency,Arlington County,,1973,17488,Steel,Stringer/Multi-beam or Girder,2,121.1,WASHINGTON BLVD.  ,Fair,27,7,8,6,Bridge not over waterway,75,11.9,32.3,3,-16,76,21,106,99,158.1,3233,1128.09,350,95.2,57.5
2001,Delaware,      2920N150 ,      2920N150 ,State Highway Agency,Kent County,,1992,12324,Steel,Stringer/Multi-beam or Girder,1,71.9,SR 1              ,Good,9,7,8,7,Bridge not over waterway,75,13.2,36.2,3,-7.9,76,17,110,78,147.12,3504,1009.53,1109,75,55
2001,Delaware,      1305N082 ,      1305N082 ,State Highway Agency,New Castle County,,1994,17213,Prestressed Concrete,Stringer/Multi-beam or Girder,1,75.1,DUPONT HWY        ,Good,7,7,8,8,Foundations stable; Scour above top of footing,74,12.9,37.6,3,-10,86,23,103,91,146.4,3204,1043.03,2410,99,72
2001,Delaware,      1281 366 ,      1281 366 ,State Highway Agency,New Castle County,,1980,24248,Steel Continuous,Stringer/Multi-beam or Girder,2,274.9,SR 4 & SR 896     ,Good,21,7,7,7,Foundations stable; Scour above top of footing,74,12.9,37.6,3,-10,86,23,103,91,146.4,3204,1043.03,1455,99,57
2001,Delaware,      1806 060 ,      1806 060 ,State Highway Agency,New Castle County,,1975,43063,Steel Continuous,Stringer/Multi-beam or Girder,2,222.1,I 495 SB          ,Fair,26,8,6,6,Bridge not over waterway,74,12.9,37.6,3,-10,86,23,103,91,146.4,3204,1043.03,6459,64,38
2001,California,      24 0287L ,      24 0287L ,State Highway Agency,Sacramento County,,1975,20800,Prestressed Concrete Continuous,Box Beam or Girders - Multiple,2,258.9,INTERSTATE 5 SB   ,Fair,26,5,8,7,Bridge not over waterway,56,17,46,2,-2.9,8,8,67,8,139.45,1937,955.67,3744,110.1,35.9
2001,Maryland,100000070042010,100000070042010,State Highway Agency,Cecil County,,1973,6575,Steel,Stringer/Multi-beam or Girder,2,90.9,MD 273            ,Fair,28,6,6,6,Foundations stable; Scour above top of footing,74,12.9,37.6,3,-10,86,23,103,91,146.4,3204,1043.03,526,35.7,35.7
2001,Florida,         790174,         790174,State Highway Agency,Volusia County,,1997,7300,Prestressed Concrete Continuous,Segmental Box Girder,10,2319.9,SR 430            ,Fair,4,7,6,6,Foundations Stable,77,21.7,36.7,2,-2.4,6,0,130,6,186.98,4445,1287.32,365,75.9,42.9
2001,New Jersey,        0832162,        0832162,State Highway Agency,Gloucester County,,1983,17896,Steel Continuous,Stringer/Multi-beam or Girder,3,371.1,NJ ROUTE 47       ,Good,18,7,7,7,Bridge not over waterway,73,12.3,39.2,2,-13.1,98,28,103,105,142.71,3085,993.11,716,79.4,47.6
2001,Minnesota,5718           ,5718,State Highway Agency,Pine County,,1948,1950,Steel Continuous,Truss - Deck,3,402.9,MNTH 123          ,Fair,53,6,5,7,Foundations Stable; Protection Required,77,5.9,33,3,-33.2,74,108,106,159,164.38,2510,969.82,78,53.6,35.7
2001,Mississippi,310004306412140,310004306412140,State Highway Agency,Simpson County,,1963,2200,Steel,Stringer/Multi-beam or Girder,3,182.1,SR 43             ,Good,38,7,7,7,Evaluation not yet made,79,17.6,38.4,0,-7.7,35,4,126,35,162.2,4970,1651.85,176,54.5,32.6
2001,New Jersey,        0828156,        0828156,State Highway Agency,Gloucester County,,1987,12451,Steel,Stringer/Multi-beam or Girder,1,107,N.J. ROUTE 55 NB  ,Good,14,8,8,8,Bridge not over waterway,74,12.8,37.3,3,-10.9,90,22,112,94,144.07,3263,986.59,872,92.3,54.6
2001,New Jersey,        1330151,        1330151,State Highway Agency,Monmouth County,,1969,16230,Steel,Stringer/Multi-beam or Girder,1,88.9,RT I-195 EB       ,Fair,32,7,6,7,Bridge not over waterway,75,12.5,36.2,3,-10.9,83,24,103,88,142.56,3356,950.78,2272,87.3,51.6
2001,Mississippi,11002200250005B,11002200250005B,State Highway Agency,Hinds County,,1977,25000,Steel Continuous,Stringer/Multi-beam or Girder,3,315,I 220             ,Good,24,8,8,8,Bridge not over waterway,78,17.5,38.5,1,-9.4,36,5,122,36,183.37,4611,1616.48,3250,58.5,34.7
2001,New Jersey,        1328154,        1328154,State Highway Agency,Monmouth County,,1968,15060,Prestressed Concrete,Stringer/Multi-beam or Girder,2,169.9,NJ ROUTE 18 NB    ,Fair,33,6,6,7,Bridge not over waterway,,,,,,83,24,,,,,,753,81.4,37.7
2001,Mississippi,11002200250051B,11002200250051B,State Highway Agency,Hinds County,,1976,13500,Steel Continuous,Stringer/Multi-beam or Girder,2,267.1,I 220             ,Good,25,8,8,8,Bridge not over waterway,78,17.5,38.5,1,-9.4,36,5,122,36,183.37,4611,1616.48,1755,69.4,41.7
2001,New Jersey,        1328153,        1328153,State Highway Agency,Monmouth County,,1968,6600,Prestressed Concrete,Stringer/Multi-beam or Girder,2,202.1,WEST BANGS AVENUE ,Fair,33,6,7,7,Bridge not over waterway,,,,,,83,24,,,,,,66,94.2,20.8
2001,Mississippi,11000100240460B,11000100240460B,State Highway Agency,Harrison County,,1970,13465,Prestressed Concrete,Stringer/Multi-beam or Girder,1,422.9,I 10              ,Good,31,7,7,8,Bridge not over waterway,78,20.2,33.8,3,-2.7,6,1,120,6,193.04,4232,1284.7,673,68.7,65.7
2001,Mississippi,11000100240435B,11000100240435B,State Highway Agency,Harrison County,,1970,11850,Prestressed Concrete,Stringer/Multi-beam or Girder,1,217.8,I 10              ,Good,31,7,7,8,Bridge not over waterway,78,20.2,33.8,3,-2.7,6,1,120,6,193.04,4232,1284.7,593,66.9,61.5
2001,Pennsylvania,364003011000000,000000000042120,State Highway Agency,Lancaster County,,1936,1486,Steel,Truss - Thru,1,85,SR 4003           ,Poor,65,3,4,5,Evaluation not yet made,72,11.8,37.9,1,-14.5,98,35,106,111,147.92,2765,1119.63,59,31.7,20.8
2001,Mississippi,11002200250005A,11002200250005A,State Highway Agency,Hinds County,,1970,25000,Steel Continuous,Stringer/Multi-beam or Girder,3,321.9,I 220             ,Good,31,8,8,8,Bridge not over waterway,78,17.5,38.5,1,-9.4,36,5,122,36,183.37,4611,1616.48,3250,59.5,35.7
2001,Pennsylvania,222043001000000,000000000014359,State Highway Agency,Dauphin County,,1969,320,Steel Continuous,Stringer/Multi-beam or Girder,2,242.1,T-494/SCHOOLHS RD ,Fair,32,7,6,6,Bridge not over waterway,70,11.8,37.8,1,-15.3,101,38,105,115,149.52,2498,934.21,26,62.5,37.7
2001,Pennsylvania,360324007012890,000000000021212,State Highway Agency,Lancaster County,,1970,1371,Prestressed Concrete,Stringer/Multi-beam or Girder,2,152.9,PA 324;SR 0324    ,Fair,31,6,7,6,Evaluation not yet made,72,11.8,37.9,1,-14.5,98,35,106,111,147.92,2765,1119.63,82,77.4,21.8
2001,New York,000000001016310,000000001016310,State Highway Agency,Steuben County,,1990,7522,Prestressed Concrete,Box Beam or Girders - Multiple,2,176.8,MAIN ST           ,Good,11,7,7,8,Foundations stable; Scour above top of footing,72,8.8,35.9,0,-15.5,99,107,118,143,132.27,2228,808.42,527,84,49.9
2001,Pennsylvania,062011003401320,000000000005043,State Highway Agency,Berks County,,1978,11340,Prestressed Concrete,Stringer/Multi-beam or Girder,3,164,SR 2011 (LR 06143),Good,23,7,8,7,Bridge not over waterway,,,,,,105,44,,,,,,794,110.1,37.7
2001,Pennsylvania,460309013000000,000000000027369,State Highway Agency,Montgomery County,,1958,55933,Steel Continuous,Stringer/Multi-beam or Girder,3,298.9,PA 309 BY-PASS    ,Fair,43,6,5,6,Bridge not over waterway,73,12.3,39.2,2,-13.1,98,28,103,105,142.71,3085,993.11,1678,89.3,53.6
2001,Virginia,000000000000067,000000000000067,State Highway Agency,Arlington County,,1982,1875,Steel Continuous,Stringer/Multi-beam or Girder,2,226,NORTH SCOTT STREET,Good,19,7,8,8,Bridge not over waterway,71,13.1,36.7,3,-10.1,80,22,102,86,155.86,2829,1003.62,19,76.4,37.7
2001,Virginia,000000000023858,000000000023858,State Highway Agency,Fairfax County,,1993,2900,Prestressed Concrete,Stringer/Multi-beam or Girder,2,190.9,CLARA BARTON DR.  ,Good,8,8,8,8,Bridge not over waterway,69,12.8,37.4,2,-11.6,92,24,96,97,155.29,2576,875.04,58,92.3,55.6
2001,Virginia,000000000014216,000000000014216,State Highway Agency,Prince William County,,1980,12344,Prestressed Concrete,Stringer/Multi-beam or Girder,3,112.9,EBL ROUTE 0066    ,Good,21,7,7,7,Bridge not over waterway,69,12.8,37.4,2,-11.6,92,24,96,97,155.29,2576,875.04,1234,75.4,55.6
2001,Pennsylvania,550219019500000,000000000040268,State Highway Agency,Somerset County,,1998,2000,Prestressed Concrete,Stringer/Multi-beam or Girder,1,142.1,US 219 (SBL)      ,Fair,3,8,8,6,Evaluation not yet made,71,10.1,35,0,-14.5,106,77,104,131,131.03,2439,928.47,180,110.1,53.6
2001,Virginia,000000000014218,000000000014218,State Highway Agency,Prince William County,,1980,13000,Prestressed Concrete,Stringer/Multi-beam or Girder,3,112.9,WBL ROUTE 0066    ,Fair,21,8,6,7,Bridge not over waterway,69,12.8,37.4,2,-11.6,92,24,96,97,155.29,2576,875.04,390,75.4,55.6
2001,Virginia,000000000000131,000000000000131,State Highway Agency,Arlington County,,1973,17488,Steel,Stringer/Multi-beam or Girder,2,121.1,WASHINGTON BLVD.  ,Fair,28,7,8,6,Bridge not over waterway,71,13.1,36.7,3,-10.1,80,22,102,86,155.86,2829,1003.62,350,95.2,57.5
2001,Virginia,000000000011061,000000000011061,State Highway Agency,Loudoun County,,1987,13373,Steel,Stringer/Multi-beam or Girder,3,210,SR-7 BYPASS WBL   ,Good,14,7,7,7,Foundations stable; Scour above top of footing,69,12.8,37.4,2,-11.6,92,24,96,97,155.29,2576,875.04,1337,110.1,60.5
2001,Virginia,000000000023678,000000000023678,State Highway Agency,Fairfax County,,1993,9178,Prestressed Concrete,Stringer/Multi-beam or Girder,2,152.9,LEE CHAPEL ROAD   ,Good,8,8,8,8,Foundations Stable,70,13.3,37.8,1,-11.2,90,23,93,92,147.75,2892,907.03,367,55.6,37.7
2002,Delaware,      1305N082 ,      1305N082 ,State Highway Agency,New Castle County,,1994,17213,Prestressed Concrete,Stringer/Multi-beam or Girder,1,75.1,DUPONT HWY        ,Good,8,7,8,8,Foundations stable; Scour above top of footing,73,13.4,37.8,3,-10.4,90,18,110,91,149.64,3359,1195.74,2410,99,72
2002,Florida,         790174,         790174,State Highway Agency,Volusia County,,1997,12500,Prestressed Concrete Continuous,Segmental Box Girder,10,2319.9,SR 430            ,Fair,5,7,6,6,Foundations Stable,78,21.8,38.4,2,-2.7,4,0,136,4,194.99,4693,1400.63,625,52.9,39.6
2002,California,      24 0287L ,      24 0287L ,State Highway Agency,Sacramento County,,1975,20800,Prestressed Concrete Continuous,Box Beam or Girders - Multiple,2,258.9,INTERSTATE 5 SB   ,Fair,27,5,8,7,Bridge not over waterway,58,16.5,46.5,2,-3.5,12,2,46,12,134.2,2015,705.1,3744,110.1,35.9
2002,New Jersey,        0832162,        0832162,State Highway Agency,Gloucester County,,1983,17896,Steel Continuous,Stringer/Multi-beam or Girder,3,371.1,NJ ROUTE 47       ,Good,19,7,7,7,Bridge not over waterway,72,12.8,38.6,2,-11.8,101,26,111,104,141.68,3242,1277.68,716,79.4,47.6
2002,Delaware,      1281 366 ,      1281 366 ,State Highway Agency,New Castle County,,1980,24248,Steel Continuous,Stringer/Multi-beam or Girder,2,274.9,SR 4 & SR 896     ,Good,22,7,7,7,Foundations stable; Scour above top of footing,73,13.4,37.8,3,-10.4,90,18,110,91,149.64,3359,1195.74,1455,99,57
2002,Delaware,      1806 060 ,      1806 060 ,State Highway Agency,New Castle County,,1975,43063,Steel Continuous,Stringer/Multi-beam or Girder,2,222.1,I 495 SB          ,Fair,27,8,6,6,Bridge not over waterway,73,13.4,37.8,3,-10.4,90,18,110,91,149.64,3359,1195.74,6459,64,38
2002,New Jersey,        1330151,        1330151,State Highway Agency,Monmouth County,,1969,16230,Steel,Stringer/Multi-beam or Girder,1,88.9,RT I-195 EB       ,Good,33,7,9,7,Bridge not over waterway,73,13.1,35.9,3,-8.2,77,19,106,78,140.95,3382,1385.66,2272,87.3,51.6
2002,New Jersey,        1143168,        1143168,State Highway Agency,Mercer County,,1998,2565,Prestressed Concrete,Stringer/Multi-beam or Girder,2,224.1,NJ ROUTE 133 EB   ,Good,4,8,8,9,Evaluation not yet made,73,12.3,37,1,-9.7,92,30,118,95,138.4,3391,1391.93,103,110.1,68.5
2002,New Jersey,        1328153,        1328153,State Highway Agency,Monmouth County,,1968,6600,Prestressed Concrete,Stringer/Multi-beam or Girder,2,202.1,WEST BANGS AVENUE ,Fair,34,6,7,7,Bridge not over waterway,,,,,,77,19,,,,,,66,94.2,20.8
2002,New Jersey,        1328154,        1328154,State Highway Agency,Monmouth County,,1968,18820,Prestressed Concrete,Stringer/Multi-beam or Girder,2,169.9,NJ ROUTE 18 NB    ,Fair,34,6,6,7,Bridge not over waterway,,,,,,77,19,,,,,,941,81.4,37.7
2002,Delaware,      2920N150 ,      2920N150 ,State Highway Agency,Kent County,,1992,13101,Steel,Stringer/Multi-beam or Girder,1,71.9,SR 1              ,Good,10,7,8,7,Bridge not over waterway,73,14,38.5,3,-8.3,78,11,107,79,152.74,3463,1166.76,1179,75,55
2002,Minnesota,5718           ,5718,State Highway Agency,Pine County,,1948,1950,Steel Continuous,Truss - Deck,3,402.9,TH 123            ,Fair,54,6,5,7,Foundations Stable; Protection Required,76,5.5,32.9,3,-25.6,119,106,107,202,163.66,2067,971.54,78,54,36
2002,New Jersey,        0828156,        0828156,State Highway Agency,Gloucester County,,1987,12830,Steel,Stringer/Multi-beam or Girder,1,107,N.J. ROUTE 55 NB  ,Good,15,8,8,8,Bridge not over waterway,72,13.5,37.6,3,-10.3,85,18,111,86,147.37,3247,1254.67,898,92.3,54.6
2002,Mississippi,310004306412140,310004306412140,State Highway Agency,Simpson County,,1963,2000,Steel,Stringer/Multi-beam or Girder,3,182.1,SR 43             ,Good,39,7,7,7,Evaluation not yet made,79,18.1,38.1,0,-6.9,39,8,121,39,158.78,4881,1433.11,100,54.5,32.6
2002,Mississippi,11002200250005A,11002200250005A,State Highway Agency,Hinds County,,1970,23000,Steel Continuous,Stringer/Multi-beam or Girder,3,321.9,I 220             ,Good,32,8,8,8,Bridge not over waterway,78,18,38.7,1,-6.5,41,9,116,41,184.4,4637,1439.01,3450,59.5,35.7
2002,Mississippi,11002200250005B,11002200250005B,State Highway Agency,Hinds County,,1977,23000,Steel Continuous,Stringer/Multi-beam or Girder,3,315,I 220             ,Good,25,8,8,8,Bridge not over waterway,78,18,38.7,1,-6.5,41,9,116,41,184.4,4637,1439.01,3450,58.5,34.7
2002,Mississippi,11000100240460B,11000100240460B,State Highway Agency,Harrison County,,1970,20500,Prestressed Concrete,Stringer/Multi-beam or Girder,1,422.9,I 10              ,Good,32,7,7,8,Bridge not over waterway,78,20.6,35.3,3,-1.8,5,2,142,5,203.38,4359,1532.25,2665,68.7,65.7
2002,Mississippi,11002200250051B,11002200250051B,State Highway Agency,Hinds County,,1976,28500,Steel Continuous,Stringer/Multi-beam or Girder,2,267.1,I 220             ,Good,26,8,8,8,Bridge not over waterway,78,18,38.7,1,-6.5,41,9,116,41,184.4,4637,1439.01,4275,69.4,41.7
2002,Maryland,100000070042010,100000070042010,State Highway Agency,Cecil County,,1973,6575,Steel,Stringer/Multi-beam or Girder,2,90.9,MD 273            ,Fair,29,6,6,6,Foundations stable; Scour above top of footing,73,13.4,37.8,3,-10.4,90,18,110,91,149.64,3359,1195.74,526,35.7,35.7
2002,Mississippi,11000100240435B,11000100240435B,State Highway Agency,Harrison County,,1970,23000,Prestressed Concrete,Stringer/Multi-beam or Girder,1,217.8,I 10              ,Good,32,7,7,8,Bridge not over waterway,78,20.6,35.3,3,-1.8,5,2,142,5,203.38,4359,1532.25,2990,66.9,61.5
2002,Pennsylvania,550219019500000,000000000040268,State Highway Agency,Somerset County,,1998,1237,Prestressed Concrete,Stringer/Multi-beam or Girder,1,142.1,US 219 (SBL)      ,Fair,4,8,8,6,Evaluation not yet made,74,10.1,35.7,0,-13.6,111,81,125,141,132.78,3030,1182.67,111,110.1,53.6
2002,Pennsylvania,062011003401320,000000000005043,State Highway Agency,Berks County,,1978,13892,Prestressed Concrete,Stringer/Multi-beam or Girder,3,164,SR 2011 (LR 06143),Good,24,7,8,7,Bridge not over waterway,,,,,,119,49,,,,,,972,110.1,37.7
2002,Virginia,000000000014218,000000000014218,State Highway Agency,Prince William County,,1980,13000,Prestressed Concrete,Stringer/Multi-beam or Girder,3,112.9,WBL ROUTE 0066    ,Fair,22,8,6,7,Bridge not over waterway,70,13.3,38.1,2,-11.7,105,22,104,110,152.29,2742,1144.19,390,75.4,55.6
